solanaAddress,allocation
7danB5kjoaKNjQBEaC1aqdDvbKinUEL8twSEyqmqDAuC,3000,
ACWBbYC3BVX7J3xXwo4pH7PJtimG3VWDY5qYhrpSFCSc,3000,
CWQMacy6F7wzfQ99NWQFHH2RMx7Pf2Yhr1oxhhFJ4Zqc,3000,
HommfLjHqpZ7G8tcFrvm3ExChyJw3GjZzz2RL8QQNYC9,3000,
exsjg7KWyPrYpfvjeWvwMWpWJ2BdLtfeYzp6Dazek7F,3000,
E7c7HUGJK6s3vYzD5GQJ1NEmuMuWdPm9Kus5TeD4wZ1X,3000,
7xS8j7auv3CVFUb3WdphmpUrpuAqk6a646qPrZae4LcB,3000,
CrS5kkhMtWUUb1QXAWTKzHUHVwKmMSZJsPM4TK7WHMob,3000,
8eddXg7DoPMnrPmgUMcLXrc2Mfsb8RXmK7HGSRTWjAK1,3000,
Fxk79BUoraEzF94ksreAkM8V2awXmJW3cvSqma9sQJMY,3000,
FzmetAu9gM2RXu1ebbZQFMrDEDRXCuWUdFg8wZztKUkd,3000,
BKtdSojG94ZbH2TYaWhJAfxzJp6QHvifFFQCQ8NWj8r8,3000,
J2wi4jpXk5F6RYUtS2GvXxorMcog1QX34Zgg9J3487h4,3000,
GscdtJbpTmwAY3zkE6r2mo178NdNX3uU12RSwKxxF4AF,3000,
7HroWS6qJEfCMRbAizkQJHdpe1F4GPpM9NzN5H8SNNmw,3000,
54ZyWYaLai53KXcR8rf9zxtokLFGdeinBUbnRSxnXcW2,3000,
84rE4R6Bm3SoPcSFw87b2kDPtpKmoRtfMx1Pi2ano5ge,3000,
G1rPLpM56CLWGAT4GKFAJGj1jnTF8MawU3jPirAD5B79,3000,
ALwWFuZTjH1kqNbLNuGxvVnmJYoJcdMvNVRa74FCMweu,3000,
FAHDxvk1z7AMSjR5NuYwUksU4tr2gcoah2ZjWFJFHGtx,3000,
6fP4SaJvebjHNdSBqBpkuGYprponDp9RZEJbwskxxFry,3000,
Ed9KF6kPW2BFcWAYR7nRHpfyLuwLRxUVgSFJBYvdpz3b,3000,
8kKHj6vhuKsNoib3ZE4tG7M7MFq6gX8xAEYowBKp37ez,3000,
Aw4ijVVboevdTXg18xsLZC2oC4f4YmRa5ZvDyLZTbhyC,3000,
9LwMnZ2tBgZN9MWirnuCPxCgzXLUbYPGe72zjRXybRKV,3000,
5HXBsy37BVwimcZGASJw2t7FcuygUT4JJqHPszAJcA57,3000,
BRfk712kZzBFBosvYp9DmghPG8BdRMutV6YZ4Wu167UB,3000,
CtjMPM19so3tHAAb3ANUG8JgoNwHxFm6SpXGLukv6VhB,3000,
CmJwej5NfWReWa4Yh567x2JGjNvTaJnEprEgTPM3Jjbq,3000,
SXDzFd4VEwJ6GmiBdY3y12tmep6cFhpG1NoUn7FFB7H,3000,
GKipC96F6zN8ZoNSDSvG6KPkVeSq5thLAgw53j6iVZR8,3000,
2rvZ5NgPvagC4fFhMe1dRXa6MonzLN7hMGQbVwXyym6z,3000,
BCop2XNJzX1R6cAHA2R8s2g8d2DyrGW5fJ7tvqLWqwVL,3000,
62GCfGsEzo7Nv5NLNX9rZ6FHJmQTCEzAhMtF1iuw8ycV,3000,
6DHumBL7yQX9M4g91DhyQd5sT59qbpdJpeucDfctXpja,3000,
7FMtrbUe53tPFuc9YB8yTnbRLbb2HQjneqhDZd2xZ6Hh,3000,
63RUhd94qpDRrCcZwMv57GTi2gJuQ7GkLirZaJLhkHR6,3000,
G6C6cvXvXpvizzz2Q9zSkFEvAGVnfxaFt2xkpNBd1czL,3000,
4u7re4ZyxDm2YS8VZLSTh12iPhizqMVqR3auVvkB9ccV,3000,
8smniFBEf3voTvvaexcDjxunDbMSHP2S98hLrmRrYAmb,3000,
